CodeMasterID|CategoryID|SubCategoryID|PartTerminologyID|PositionID|RevDate
2|1|112|1020|1|02/07/2003
3|1|112|1052|22|02/07/2003
4|1|112|1052|103|02/07/2003
5|1|112|1052|12|02/07/2003
6|1|112|1052|104|02/07/2003
7|1|112|1054|22|02/07/2003
8|1|112|1054|103|02/07/2003
9|1|112|1054|12|02/07/2003
11|1|112|10002|22|02/07/2003
12|1|112|10002|30|02/07/2003
13|1|112|10043|1|02/07/2003
14|1|112|1080|1|02/07/2003
15|1|112|1188|1|02/07/2003
16|1|136|2104|1|02/07/2003
22|1|164|6984|1|02/07/2003
23|1|164|6928|1|02/07/2003
26|1|164|6976|1|02/07/2003
27|1|164|10077|1|02/07/2003
28|1|112|10001|1|02/07/2003
29|1|112|10057|1|02/07/2003
31|1|215|4872|1|02/07/2003
32|2|106|1048|62|02/07/2003
33|2|106|1048|22|02/07/2003
34|2|106|1048|2|02/07/2003
35|2|106|1048|103|02/07/2003
36|2|106|1048|105|02/07/2003
37|2|106|1048|30|02/07/2003
38|2|106|1048|12|02/07/2003
39|2|106|1048|104|02/07/2003
40|2|106|1048|106|02/07/2003
41|2|106|1048|54|02/07/2003
42|2|106|10005|22|02/07/2003
43|2|106|10005|30|02/07/2003
46|2|123|1340|22|02/07/2003
47|2|123|1340|2|02/07/2003
48|2|123|1340|30|02/07/2003
49|2|123|1340|12|02/07/2003
51|2|123|1344|22|02/07/2003
52|2|123|1344|27|02/07/2003
53|2|123|1344|26|02/07/2003
54|2|123|1344|2|02/07/2003
55|2|123|1344|30|02/07/2003
56|2|123|1344|12|02/07/2003
57|2|123|10003|1|02/07/2003
58|2|123|1018|2|02/07/2003
59|2|123|1018|30|02/07/2003
60|2|123|1018|12|02/07/2003
61|2|123|10033|1|02/07/2003
62|2|129|10004|1|02/07/2003
63|2|129|1280|1|02/07/2003
65|2|133|1256|1|02/07/2003
66|2|139|1436|2|02/07/2003
67|2|139|1436|103|02/07/2003
68|2|139|1436|105|02/07/2003
69|2|139|1436|12|02/07/2003
70|2|139|1436|104|02/07/2003
71|2|139|1436|106|02/07/2003
72|2|139|1376|2|02/07/2003
73|2|139|1376|103|02/07/2003
74|2|139|1376|105|02/07/2003
75|2|139|1376|30|02/07/2003
76|2|139|1376|12|02/07/2003
77|2|139|1376|104|02/07/2003
78|2|139|1376|106|02/07/2003
79|2|139|1377|2|02/07/2003
80|2|139|1377|103|02/07/2003
81|2|139|1377|9|02/07/2003
82|2|139|1377|105|02/07/2003
