PartTerminologyID|PartTerminologyName|PartsDescriptionID|RevDate
1005|Auxiliary Light||02/07/2003
1008|Truck Bed Liner||02/07/2003
1014|Truck Bed Side Rail Anchor||02/07/2003
1018|Bumper Mounting Kit||02/07/2003
1019|Truck Cab Top Cover||02/07/2003
1020|Car Cover||02/07/2003
1021|Deck Lid Rack|1|02/07/2003
1024|Exterior Door Handle|405|02/07/2003
1028|Door Lock Kit||02/07/2003
1032|Door Sill Plate|6284|02/07/2003
1036|Fender Flare|11597|03/05/2019
1040|Front End Bra|1|02/07/2003
1044|Grille Guard|83|02/07/2003
1045|Grille Guard Mounting Kit||02/07/2003
1046|Grille Screen|14264|02/07/2003
1048|Ground Effects Kit||02/07/2003
1052|Headlight Cover||02/07/2003
1054|Headlight Guard||02/07/2003
1069|Light Bar||02/07/2003
1072|Window Louver||02/07/2003
1080|Mud Flap||02/07/2003
1081|Paint||02/07/2003
1082|Step Nerf Bar||02/07/2003
1092|Rocker Panel|6285|02/07/2003
1096|Roll Bar||02/07/2003
1104|Roof Rack||02/07/2003
1108|Running Board||02/07/2003
1116|Fender Apron||02/07/2003
1128|Sliding Window||02/07/2003
1132|Tire Snow Chain||02/07/2003
1148|Sunroof Assembly||02/07/2003
1152|Sunroof Wind Deflector||02/07/2003
1156|Sun Visor||02/07/2003
1160|Tail Light Cover||02/07/2003
1164|Tail Light Guard||02/07/2003
1172|Tailgate Liner|1|02/07/2003
1178|Tailgate Net||02/07/2003
1184|Spare Tire Cover||02/07/2003
1188|Tonneau Cover||02/07/2003
1192|Truck Bed Storage Box|1|02/07/2003
1200|Tow Bar||02/07/2003
1202|Tow Hook|11529|03/05/2019
1212|Trailer Hitch|11718|02/07/2003
1220|Truck Bed Side Rail||02/07/2003
1236|Wheel Dust Shield||02/07/2003
1240|Winch|1|02/07/2003
1245|Winch Mount|1|02/07/2003
1247|Window Shade||02/07/2003
1248|Windshield Visor||02/07/2003
1256|Cowl Panel|3595|02/07/2003
1259|Audio Amplifier|1|02/07/2003
1262|Cargo Cover|1126|02/07/2003
1263|Cargo Holder||02/07/2003
1264|Floor Carpet||02/07/2003
1268|Cigarette Lighter||02/07/2003
1272|Cigarette Lighter Element||02/07/2003
1280|Console Cover||02/07/2003
1282|Convertible Top Interior Cover||02/07/2003
1284|Dashboard Cover|2857|02/07/2003
1286|Dog Guard||02/07/2003
1290|Door Lock Knob||02/07/2003
1297|Floor Liner||02/07/2003
1300|Floor Mat|1140|02/07/2003
1306|Night Vision Camera|1|02/07/2003
1308|Privacy Curtain||02/07/2003
1316|Seat Cover|3710|02/07/2003
1319|Speaker|3637|02/07/2003
1320|Steering Wheel||02/07/2003
1321|Television|1|02/07/2003
1322|Mobile Phone|1|02/07/2003
1327|Window Film|14276|02/07/2003
1328|Window Cover||02/07/2003
1332|Antenna|1|02/07/2003
1334|Battery Box|10097|02/07/2003
1336|Battery Hold Down||02/07/2003
1340|Bumper|11431|03/05/2019
1344|Bumper Cover|6945|03/05/2019
1348|Cruise Control Cable||02/07/2003
1352|Fuel Filler Door Release Cable|1|02/07/2003
1356|Liftgate Release Cable|1|02/07/2003
1360|Hood Release Cable|255|02/07/2003
1364|Tailgate Release Cable|1|02/07/2003
1368|Trunk Lid Release Cable||02/07/2003
1372|Coded Door Lock Set||02/07/2003
1376|Door|4658|02/07/2003
1377|Door Hinge|9514|02/07/2003
1378|Door Lock Striker||02/07/2003
1380|Fender|12309|02/07/2003
1384|Grille|1438|03/05/2019
1388|Headlight Adjusting Screw|6286|02/07/2003
1392|Headlight Bulb Retainer|1632|02/07/2003
1396|Hood|1|02/07/2003
1400|Headlight Lens||02/07/2003
1412|Headlight Motor||02/07/2003
1416|Quarter Panel|4701|02/07/2003
1420|Door Open Warning Sensor|1|02/07/2003
1421|Skid Plate|11458|03/05/2019
1424|Deck Lid Release Solenoid|1126|02/07/2003
1425|Tailgate Lock||02/07/2003
1426|Tailgate Handle|10193|02/07/2003
1427|Tailgate|3703|02/07/2003
1431|Windshield Frame||02/07/2003
1436|Door Armrest|1|02/07/2003
1440|Speedometer Cable|1|02/07/2003
1444|Tachometer Cable|1|02/07/2003
1450|Parking Brake Pedal Release Handle|11970|02/07/2003
1452|Ammeter Gauge|1|02/07/2003
1456|Fuel Level Gauge||02/07/2003
